métier,Compétences
Analyse de tendance (M1702),"collecter les tests, enquêtes, observations sur un produit, un service, une marque, des usages ou des comportements,analyser le produit, le service, la marque et déterminer son positionnement sur le marché,analyser les comportements, les usages et l'environnement social, professionnel, culturel de consommateurs, de clients,détecter et évaluer les évolutions du marché, de tendances, d'usages, de comportements de consommateurs et clients ou l'émergence de nouveaux marchés,etablir le cahier de tendances ou les propositions de projets à partir des analyses et études,suivre et mettre à jour l'information culturelle, réglementaire, professionnelle"
Management et gestion de produit (M1703),"analyser le marché des produits, les besoins des consommateurs et de la concurrence,définir les caractéristiques de nouveaux produits, l'adaptation de produits existants,etablir les modalités de fabrication des produits selon les impératifs de production,consulter et sélectionner les fournisseurs, les sous-traitants, les prestataires,réaliser le plan marketing du produit ou de la gamme après élaboration du cahier des charges technique,analyser les parts de marché, ventes, marges bénéficiaires du produit ou de la gamme et proposer des ajustements (opérations de promotion, alignement sur la concurrence, ...),concevoir le plan média de mise sur le marché du produit ou de la gamme et les supports de promotion (fiche technique, argumentaire de vente, catalogue, ...),apporter un appui technique au réseau commercial sur le produit ou la gamme (caractéristiques techniques, innovation, ...)"
Management relation clientèle (M1704),"elaborer ou participer à l'élaboration de la stratégie relation clientèle et déterminer les plans d'actions annuels et les objectifs du service,elaborer ou faire évoluer les procédures qualité du service clientèle et en contrôler l'application,concevoir les indicateurs de performance du service, analyser les résultats et mettre en place des ajustements,renseigner les supports de suivi d'activité, réaliser le bilan annuel d'activité et proposer des axes d'évolution,coordonner l'activité d'une équipe,recueillir les remarques de la clientèle et les transmettre au service de production, marketing, recherche, développement, ...,proposer des solutions en réponse aux réclamations de la clientèle ou transmettre le dossier au service contentieux, logistique, ...,participer aux actions de gestion de ressources humaines (recrutement, formation, ...)"
Marketing (M1705),"elaborer la stratégie marketing de l'entreprise selon l'étude de marché,elaborer le plan marketing et contrôler le déploiement des opérations,elaborer et suivre les éléments du budget marketing pour l'ensemble des produits de l'entreprise,concevoir la campagne promotionnelle des produits et la mettre en oeuvre,concevoir les supports de promotion des produits et en vérifier l'application,réaliser le bilan des actions marketing et proposer des axes d'évolution,apporter un appui technique aux commerciaux lors des plans d'actions commerciales"
Promotion des ventes (M1706),"analyser les informations sur un produit ou une gamme et définir le type de campagne promotionnelle,concevoir la campagne promotionnelle du produit ou de la gamme et déterminer les caractéristiques des supports publicitaires,elaborer le budget de la campagne promotionnelle du produit ou de la gamme et le gérer,organiser la mise en oeuvre de la campagne promotionnelle (logistique, négociation avec les enseignes, ...) et en suivre le déroulement,former l'équipe de commerciaux sur les produits et apporter un appui technique lors du lancement de la campagne promotionnelle,analyser les résultats de la campagne promotionnelle (atteinte des objectifs, ...) et proposer des axes d'évolution"
Stratégie commerciale (M1707),"elaborer la stratégie commerciale de l'entreprise et définir les plans d'actions annuels (promotion des produits, marchés à investir, ...),elaborer et gérer les budgets,organiser la force commerciale de l'entreprise (déploiement du réseau, formations commerciales, ...),participer et/ou mener les actions de gestion de ressources humaines (recrutement, formation, ...),concevoir le circuit de l'information du service commercial (réunions, notes, directives, ...) et échanger des informations avec les commerciaux,coordonner l'activité des commerciaux et leur apporter un appui technique,suivre et analyser les données d'activité du service ou de la structure et proposer des axes d'évolution,réaliser le suivi des clients grands comptes de la structure et analyser le potentiel de clients/prospects,réaliser la veille concurrentielle des produits (marché, prix, nouvelles tendances, ...)"
Administration de systèmes d'information (M1801),"suivre et actualiser la configuration et l'architecture des systèmes d'informations en fonction des évolutions,mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques,analyser les performances du système d'information et préconiser des mesures d'amélioration de la qualité, la sécurité, la productivité,définir et suivre les droits d'accès en fonction des caractéristiques des utilisateurs ou des services,identifier, diagnostiquer les dysfonctionnements, incidents, non-conformités et mettre en oeuvre les mesures correctives,sélectionner ou installer les équipements informatiques (logiciel, matériel, ...),conseiller et assister les équipes de développement, de production informatique ou utilisateurs dans le choix et la mise en oeuvre de solutions techniques,suivre et mettre à jour l'information technique, économique, règlementaire, ..."
Expertise et support en systèmes d'information (M1802),"analyser les besoins fonctionnels de l'entreprise, du client et définir les caractéristiques techniques du produit selon le cahier des charges,élaborer les solutions techniques et proposer les configurations ou les architectures à mettre en oeuvre, les évaluer et proposer les choix adaptés aux besoins fonctionnels,procéder aux phases de tests et de recettes des applications développées et en rédiger les documentations,informer ou former les équipes informatiques sur les aspects techniques (fonctionnement, sécurité, risques, ...) et sur l'exploitation de nouveaux équipements,définir et mettre en oeuvre les normes, standards, méthodes, outils et procédures (qualité, sécurité, ...) de fiabilisation, d'études ou de productions informatiques,conseiller et apporter une assistance technique à des utilisateurs, clients, services,suivre et mettre à jour l'information technique, économique, règlementaire, ...,planifier, mettre en oeuvre et intégrer des infrastructures informatiques nécessaires à la bonne exploitation des données"
Direction des systèmes d'information (M1803),"analyser et définir les besoins de l'entreprise, des utilisateurs en matière d'organisation et de systèmes d'information et de télécoms,elaborer le schéma directeur à partir des orientations fixées par la direction et des besoins des services utilisateurs et superviser les modalités de mise en oeuvre,gérer le budget global de la structure, du service ou du projet (investissement, affectations, répartitions, ...),superviser et coordonner la réalisation de projets,procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation,définir et contrôler l'application des procédures qualité et sécurité des systèmes d'information et de télécoms,diriger un service, une structure,suivre et mettre à jour l'information technique, économique, règlementaire, ..."
Études et développement de réseaux de télécoms (M1804),"recueillir et définir les besoins de l'entreprise, des clients, des utilisateurs en matière de systèmes télécoms (capacité, fiabilité, sécurité, ...),elaborer le projet d'architecture d'un réseau télécoms (maquette technique, évaluation économique, modélisation, définition, ...),définir et élaborer les spécifications fonctionnelles et techniques d'un réseau, d'équipements télécoms (matériel, logiciel, implantation, ...),déterminer des composants d'architecture, des technologies, des équipements, des outils supports et les intégrer selon les spécifications,définir et contrôler les procédures, les protocoles d'essais, de tests ou de validation de réseaux télécoms,dimensionner, planifier et suivre la capacité du réseau télécoms et de ses interconnexions,analyser les conditions de fonctionnement et d'utilisation et mettre en place des solutions d'ajustements, d'évolutions ou de migrations de réseaux et de ressources,suivre et mettre à jour l'information technique, économique, règlementaire, ..."
Études et développement informatique (M1805),"analyser les besoins du client, de l'utilisateur et constituer le cahier des charges fonctionnel (spécifications, délais, coûts, ...),elaborer et rédiger les spécifications techniques (cahier des charges technique) de l'application informatique,réaliser un prototype de la solution technique pour validation par le donneur d'ordres (configuration type, ...),concevoir et développer les programmes et applications informatiques,définir et réaliser les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques (planification, validation, ...),analyser les problèmes techniques, fonctionnels et proposer des correctifs, mises en conformité techniques, ...,elaborer et rédiger les documents et supports techniques à destination des développeurs, des utilisateurs, des services informatiques, ...,suivre et mettre à jour l'information technique, économique, règlementaire, ..."
Conseil et maîtrise d'ouvrage en systèmes d'information (M1806),"recueillir les besoins du commanditaire, analyser les processus métier et en évaluer l'opportunité et la faisabilité,formaliser et définir les solutions fonctionnelles à mettre en oeuvre, présenter les évolutions et extensions fonctionnelles du système d'information au commanditaire,etablir, rédiger les cahiers des charges, les spécifications fonctionnelles, générales et les transmettre à la maîtrise d'oeuvre,réaliser et suivre la mise en oeuvre des tests fonctionnels des applications développées,procéder à la mise en oeuvre des préconisations fonctionnelles, techniques et effectuer le déploiement des applications (paramétrage, suivi, ...),rédiger les supports d'information ou de formation et les communiquer aux personnes concernées,accompagner ou former les utilisateurs aux nouveaux processus métier et applications,suivre et mettre à jour l'information technique, économique, règlementaire, ..."
Exploitation de systèmes de communication (M1807),"contrôler le fonctionnement des équipements, des systèmes et vecteurs d'information,surveiller la performance, la capacité, la qualité du réseau et adapter les équipements, systèmes et vecteurs d'informations,rechercher ou recueillir les données, signaux, mesures, images, transmis ou émis et les identifier,contrôler et traiter les informations recueillies ou collectées ou les transmettre,identifier les anomalies électriques, électroniques, informatiques et appliquer les mesures correctives,effectuer l'entretien et la maintenance de premier niveau des équipements, des systèmes et vecteurs d'information,renseigner les personnels, les institutionnels, ... sur les interventions et les évolutions de la situation"
Production et exploitation de systèmes d'information (M1810),"ordonnancer le déroulement des travaux et mettre en oeuvre les traitements d'exploitation/production des ressources informatiques,superviser et vérifier l'état des ressources informatiques, réaliser les sauvegardes et les archivages de données,contrôler et analyser le déroulement des travaux et le fonctionnement des systèmes, des réseaux, des outils et périphériques,identifier, diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives,déclencher ou planifier les interventions de maintenance et contrôler la conformité des interventions,installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logiques et physiques,conseiller et apporter une assistance technique à des utilisateurs, clients, services,suivre et mettre à jour l'information technique, économique, règlementaire, ..."
Gestion des opérations de circulation internationale des marchandises (N1202),"informer et conseiller le client sur les formalités de circulation internationale des marchandises (dispositions légales, taxes, garanties, ...),codifier la marchandise à partir du descriptif fourni par le client,collecter les documents d'expédition de la marchandise et constituer le dossier de la prestation (transit, douane, ...),établir et contrôler les documents liés à la circulation internationale de la marchandise ( déclaration douanière, lettre de crédit, ...).,suivre l'acheminement des marchandises, informer le client sur le déroulement et présenter des solutions en cas d'anomalies"
Conception et organisation de la chaîne logistique (N1301),"elaborer et mettre en place les schémas d'organisation de l'activité logistique d'une structure (règles, modes opératoires, ...),concevoir les outils de pilotage des services achats, approvisionnements, expéditions et des sites (plate-formes, entrepôts, ...),organiser et synchroniser les activités logistiques selon les besoins du client et les contraintes du fournisseur,suivre la mise en place et la réalisation des plans d'action logistiques et contrôler la conformité d'application,déterminer les mesures correctives du circuit d'acheminement des produits en cas de dysfonctionnements,organiser et coordonner le circuit des informations et instructions de fonctionnement de la structure"
Direction de site logistique (N1302),"superviser la planification de l'exploitation du ou des sites logistiques en fonction de l'activité (flux internes/externes, commandes spécifiques, ...),superviser ou organiser l'activité des équipes logistiques (techniciens, chefs de quai, magasiniers, ...),suivre et analyser les données d'activité du service ou de la structure et proposer des axes d'évolution,organiser et coordonner le circuit des informations et instructions de fonctionnement de la structure,etablir et suivre les éléments du budget d'exploitation d'un ou plusieurs sites,elaborer et faire évoluer des procédures (réception, stockage, ...) et en contrôler l'application,superviser la gestion administrative du personnel,identifier et mettre en place des actions de gestion de ressources humaines"
Intervention technique d'exploitation logistique (N1303),"contrôler la réception des commandes et établir l'ordre de traitement,planifier l'activité des caristes et préparateurs de commandes, ... selon l'ordre de traitement des commandes,organiser la répartition des emplacements de stockage sur le site et en suivre la gestion,coordonner et contrôler les opérations logistiques de réception, expédition et livraison,organiser ou contrôler la gestion de stocks de produits, marchandises ou matières premières (référencement, rotation, ...),informer les clients internes ou externes sur le traitement et le suivi des commandes,renseigner les supports de suivi d'activité et identifier les écarts"
